class	year	month	day	hour	minute	second	length	path	f0	f1
background	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	5	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
